Case Name (EN),Case Name (TH),Keywords,Instructions,facility_type,severity
Cardiac Arrest,หัวใจหยุดเต้นเฉียบพลัน,"หยุดหายใจ, หัวใจวาย, นิ่งไป, ไม่ตื่น, ปั๊มหัวใจ, CPR, cardiac arrest, ไม่หายใจ, หน้าเขียว, ใจสั่น, นอนราบไม่ได้, หน้ามืด","1. พยายามเรียก หรือเขย่าตัวว่า ผู้ป่วยยังมีสติอยู่หรือไม่
2. หากผู้ป่วยยังมีสติอยู่ควรให้อยู่นิ่งๆ งดการเคลื่อนไหว งดการใช้แรงจนกว่ารถพยาบาลจะมารับ
3. ติดต่อขอความช่วยเหลือจากผู้ที่อยู่ในบริเวณนั้น หรือโทรติดต่อ 1669 หรือโรงพยาบาล หรือทีมกู้ภัยใกล้เคียงทันที
4. หากผู้ป่วยไม่สามารถหายใจได้เอง ให้ปฐมพยาบาลด้วยการเป่าลมเข้าปอดด้วยวิธีเป่าแบบปากต่อปากพร้อมกับดันหน้าผากและดึงคาง หรือการเป่าแบบปากต่อปากขณะยกขากรรไกรล่าง แต่ละแบบให้เป่าครั้งละ 2 วินาที แล้วถอนปากออกมาให้ลมหายใจออกผ่านกลับออกมาทางปาก โดยขณะช่วยหายใจทางปากให้ใช้มือบีบจมูก ไม่อย่างนั้นแล้วลมจะไม่เข้าปอด
5. กดหน้าอก เริ่มด้วยการหาตำแหน่งครึ่งล่างของกระดูกหน้าอก วางนิ้วมือทั้งสองถัดจากจุดนั้นขึ้นไป แล้ววางมือทาบอกบนอีกมือหนึ่ง โดยอาจประสานนิ้ว หรือไม่ก็ได้ จากนั้นกดหน้าอกแล้วปล่อย ทำติดต่อกัน 30 ครั้ง เวลากดอย่างอแขน โน้มตัวไปข้างหน้าให้ช่วงไหล่อยู่เหนือร่างผู้หมดสติเพื่อให้ทิศของแรงกดดิ่งลงสู่หน้าอก
6. เป่าลมเข้าปอด 2 ครั้ง สลับกับกดหน้าอก 30 ครั้ง อย่างน้อย 4 รอบ ถ้ายังไม่ได้สติก็ทำซ้ำอีก 4 รอบ จนกว่าผู้ป่วยจะรู้ตัว หรือจนกว่าความช่วยเหลือจะมาถึง
7. หากมีเครื่องกระตุกหัวใจไฟฟ้าชนิดอัตโนมัติ (Automated External Defibrillators: AED) สามารถนำมาใช้ช่วยชีวิตผู้ป่วยได้",Hospital,critical
Unconscious (Breathing),หมดสติ (หายใจอยู่),"สลบ, เป็นลม, ปลุกไม่ตื่น, หมดสติ, นอนนิ่ง, หลับลึก, unconscious, วูบ","1. จับผู้ป่วยนอนศีรษะต่ำ ปลดเสื้อผ้าและเข็มขัดให้หลวม
2. ห้ามคนมุงดู เพื่อให้อากาศถ่ายเทสะดวก
3. ใช้ผ้าเย็นๆ เช็ดตามหน้า คอและแขนขา
4. ขณะที่ยังไม่ฟื้นห้ามให้น้ำและอาหารทางปาก
5. เมื่อเริ่มรู้สึกตัว อย่าให้ผู้ป่วยลุกขึ้นนั่งทันที ควรให้พักต่ออีกสัก 15-20 นาที
6. เมื่อผู้ป่วยฟื้นคืนสติดีแล้วและเริ่มกลืนได้ อาจให้ผู้ป่วยดื่มน้ำหรือให้ดื่มน้ำหวาน",Clinic,mild
Drowning (Unconscious),จมน้ำ (หมดสติ),"จมน้ำ, ไม่หายใจ, ตัวเขียว, ช่วยคนจมน้ำ, CPR, สำลักน้ำ","โดยเบื้องต้น คือ ยื่นอุปกรณ์ให้จับ เช่น เสื้อผ้า เข็มขัด ท่อนไม้ ห่วงหรือไม้ตะขอ และโยนอุปกรณ์ที่ลอยน้ำให้เกาะ เช่น ถังพลาสติก ห่วงชูชีพ ยางในรถยนต์ จากนั้นผู้ช่วยเหลืออาจเอาเชือกผูกอุปกรณ์เหล่านั้นเพื่อลากคนตกน้ำเข้าฝั่ง ซึ่งวิธีการช่วยเหลือดังกล่าว ผู้ช่วยเหลือจะมีความปลอดภัยเกือบ 100% เพราะผู้ช่วยอยู่บนฝั่งหรือยืนได้ในน้ำตื้น
ส่วนวิธีการกระโดดลงน้ำไปช่วยนั้น เป็นวิธีการที่ต้องพึงระวังอย่างมาก และผู้ช่วยเหลือจะต้องมีประสบการณ์ เพราะมีผู้เสียชีวิตจำนวนมากจากการช่วยเหลือคนตกน้ำและจมน้ำด้วยวิธีนี้
ทั้งนี้วิธีการที่ถูกต้องคือ ต้องนำอุปกรณ์ช่วยติดตัวไปด้วย เช่น ห่วงยาง โฟม หรือใส่เสื้อชูชีพ และเมื่อว่ายน้ำเข้าไปจวนถึงตัวคนตกน้ำ ให้หยุดอยู่ห่างๆ แล้วยื่นหรือโยนอุปกรณ์ให้เขาเกาะ อย่าเข้าไปจนถึงตัวเพราะผู้ที่จมน้ำหรือตกน้ำอาจเข้ามากอด จนอาจจะทำให้จมน้ำไปด้วยกันได้  เนื่องจากผู้จมน้ำอยู่ในภาวะที่ตกใจ แต่หากผู้จมน้ำโผเข้ามาจะกอดเรา ให้ดำน้ำหนีก่อน หรืออาจใช้วิธีการพายเรือเข้าไปช่วยเหลือ โดยผู้ตกน้ำ ต้องลอยคอ หรือเกาะวัสดุสิ่งของลอยน้ำคอยอยู่
นอกจากนี้ อาจใช้วิธีการ ลากหรือพา โดยหากผู้จมน้ำเป็นคนที่ว่ายน้ำเป็น แต่แค่หมดแรงหรือเป็นตระคริว ไม่ตระหนกตกใจ ผู้ช่วยเหลือจะสามารถลากพาได้ง่าย อาจจะไม่ค่อยมีอันตราย ส่วนการลากพาคนจมน้ำที่ตื่นตกใจ จะต้องใช้ทักษะพิเศษ โดย ต้องใช้ท่า Cross chest คือการเอารักแร้เราหนีบบนบ่าเขา แขนพาดผ่านหน้าอกแบบสะพายแล่งไปจับซอกรักแร้อีกด้าน และว่ายน้ำด้วยท่าSide stroke ซึ่งเป็นท่าที่เหนื่อย หนักแรงและมีอันตรายมากๆ สำหรับคนจมน้ำที่สลบ ต้องใช้ท่าลาก/พาที่ประคองหน้าให้ปากและจมูกพ้นน้ำ เพื่อหายใจได้ตลอด
หากหยุดหายใจ คลำชีพจรไม่ได้ หรือหัวใจหยุดเต้น ให้กดหน้าอกทันที โดยกดที่บริเวณกลางหน้าอกประมาณ 1-1.5 นิ้ว 100 ครั้ง ต่อนาที กด 30 ครั้งต่อรอบ สลับกับการเป่าปาก ให้ครบ 5 รอบ
ส่วนการเป่าปากช่วยหายใจ ให้รับดำเนินการทันที อย่าเสียเวลาพยายามเอาน้ำออกจากปอดหรือผายปอดด้วยวิธีอื่น เพราะจะไม่ทันการณ์และไม่ได้ผล และถ้าเป็นไปได้ควรลงมือเป่าปากตั้งแต่ก่อนขึ้นฝั่ง เช่น พาขึ้นบนเรือ หรือพาเข้าที่ตื้นๆ ทั้งนี้เมื่อเริ่มเป่าปากสักพัก หากรู้สึกว่าลมเข้าปอดได้ไม่เต็มที่เนื่องจากมีน้ำอยู่เต็มท้อง ให้จับผู้ป่วยนอนคว่ำ ใช้มือ 2ข้างวางใต้ท้องผู้ป่วย ยกท้องผู้ป่วยขึ้น จะช่วยไล่น้ำออกจากท้องให้ไหลออกทางปากได้ แล้วจับผู้ป่วยพลิกหงายและทำการเป่าปากต่อไป
อย่างไรก็ตามหากผู้ป่วยยังหายใจได้เอง หรือช่วยเหลือจนหายใจได้แล้ว ควรจับผู้ป่วยนอนตะแคงข้าง ศีรษะหงายไปข้างหลังเพื่อให้น้ำไหลออกทางปาก ใช้ผ้าห่มคลุมผู้ป่วยเพื่อให้เกิดความอบอุ่น อย่าให้กินอาหารและดื่มน้ำทางปาก จากนั้นควรส่งผู้ป่วยที่จมน้ำไม่ว่าจะมีอาการหนักเบาเพียงใดไปพักรักษาตัวที่โรงพยาบาลทุกราย ในรายที่หมดสติและหยุดหายใจ ผายปอดด้วยวิธีเป่าปากไปตลอดทาง อย่ารู้สึกหมดหวังแล้วหยุดให้การช่วยเหลือ",Hospital,critical
Drowning (Conscious),จมน้ำ (รู้สึกตัว),"ตกน้ำ, สำลักน้ำ, ตะเกียกตะกาย, ช่วยด้วยตกน้ำ","โดยเบื้องต้น คือ ยื่นอุปกรณ์ให้จับ เช่น เสื้อผ้า เข็มขัด ท่อนไม้ ห่วงหรือไม้ตะขอ และโยนอุปกรณ์ที่ลอยน้ำให้เกาะ เช่น ถังพลาสติก ห่วงชูชีพ ยางในรถยนต์ จากนั้นผู้ช่วยเหลืออาจเอาเชือกผูกอุปกรณ์เหล่านั้นเพื่อลากคนตกน้ำเข้าฝั่ง ซึ่งวิธีการช่วยเหลือดังกล่าว ผู้ช่วยเหลือจะมีความปลอดภัยเกือบ 100% เพราะผู้ช่วยอยู่บนฝั่งหรือยืนได้ในน้ำตื้น
ส่วนวิธีการกระโดดลงน้ำไปช่วยนั้น เป็นวิธีการที่ต้องพึงระวังอย่างมาก และผู้ช่วยเหลือจะต้องมีประสบการณ์ เพราะมีผู้เสียชีวิตจำนวนมากจากการช่วยเหลือคนตกน้ำและจมน้ำด้วยวิธีนี้
ทั้งนี้วิธีการที่ถูกต้องคือ ต้องนำอุปกรณ์ช่วยติดตัวไปด้วย เช่น ห่วงยาง โฟม หรือใส่เสื้อชูชีพ และเมื่อว่ายน้ำเข้าไปจวนถึงตัวคนตกน้ำ ให้หยุดอยู่ห่างๆ แล้วยื่นหรือโยนอุปกรณ์ให้เขาเกาะ อย่าเข้าไปจนถึงตัวเพราะผู้ที่จมน้ำหรือตกน้ำอาจเข้ามากอด จนอาจจะทำให้จมน้ำไปด้วยกันได้  เนื่องจากผู้จมน้ำอยู่ในภาวะที่ตกใจ แต่หากผู้จมน้ำโผเข้ามาจะกอดเรา ให้ดำน้ำหนีก่อน หรืออาจใช้วิธีการพายเรือเข้าไปช่วยเหลือ โดยผู้ตกน้ำ ต้องลอยคอ หรือเกาะวัสดุสิ่งของลอยน้ำคอยอยู่
นอกจากนี้ อาจใช้วิธีการ ลากหรือพา โดยหากผู้จมน้ำเป็นคนที่ว่ายน้ำเป็น แต่แค่หมดแรงหรือเป็นตระคริว ไม่ตระหนกตกใจ ผู้ช่วยเหลือจะสามารถลากพาได้ง่าย อาจจะไม่ค่อยมีอันตราย ส่วนการลากพาคนจมน้ำที่ตื่นตกใจ จะต้องใช้ทักษะพิเศษ โดย ต้องใช้ท่า Cross chest คือการเอารักแร้เราหนีบบนบ่าเขา แขนพาดผ่านหน้าอกแบบสะพายแล่งไปจับซอกรักแร้อีกด้าน และว่ายน้ำด้วยท่าSide stroke ซึ่งเป็นท่าที่เหนื่อย หนักแรงและมีอันตรายมากๆ สำหรับคนจมน้ำที่สลบ ต้องใช้ท่าลาก/พาที่ประคองหน้าให้ปากและจมูกพ้นน้ำ เพื่อหายใจได้ตลอด
หากผู้ป่วยยังหายใจได้เอง หรือช่วยเหลือจนหายใจได้แล้ว ควรจับผู้ป่วยนอนตะแคงข้าง ศีรษะหงายไปข้างหลังเพื่อให้น้ำไหลออกทางปาก ใช้ผ้าห่มคลุมผู้ป่วยเพื่อให้เกิดความอบอุ่น อย่าให้กินอาหารและดื่มน้ำทางปาก จากนั้นควรส่งผู้ป่วยที่จมน้ำไม่ว่าจะมีอาการหนักเบาเพียงใดไปพักรักษาตัวที่โรงพยาบาลทุกราย ในรายที่หมดสติและหยุดหายใจ ผายปอดด้วยวิธีเป่าปากไปตลอดทาง อย่ารู้สึกหมดหวังแล้วหยุดให้การช่วยเหลือ",Hospital,critical
Choking (Adult),อาหารติดคอ (ผู้ใหญ่),"ติดคอ, หายใจไม่ออก, ไอไม่ออก, หน้าเขียว, มือจับคอ, สำลัก, choking, กินแล้วติด, CPR","1. เช็กอาการผู้ประสบเหตุอันดับแรก ถ้ายังไม่หมดสติ ให้ถามก่อนว่าอาหารติดคอไหม? หากทำได้เพียงพยักหน้าเนื่องจากพูดไม่ได้ พูดไม่ออก แสดงว่ามีอาการของติดคอชนิดรุนแรง จึงเริ่มให้การช่วยเหลือ
2. ยืนซ้อนหลังผู้ประสบเหตุ เริ่มจากเข้าไปด้านหลัง กรณีที่เป็นเด็กแนะนำให้คุกเข่าในการช่วยเหลือ แต่ถ้าเป็นผู้ใหญ่ควรเป็นท่ายืนตามปกติ
3. โอบรอบใต้รักแร้ของผู้ประสบเหตุ โดยกำมือข้างหนึ่งเป็นกำปั้นเหนือสะดือใต้ลิ้นปี่ แล้วใช้มืออีกข้างโอบกำปั้นไว้
4. รัดแล้วกระตุกหน้าท้องขึ้น และเข้าพร้อมกันแรง ๆ บริเวณใต้ลิ้นปี่ รอบละ 5 ครั้ง จนกว่าสิ่งแปลกปลอมออกมา ถ้าสิ่งแปลกปลอมหลุดออกมาแล้วหรือผู้ประสบเหตุสามารถออกเสียงได้ แสดงว่าช่วยเหลือสำเร็จ และสังเกตอาการอย่างใกล้ชิด ถ้ายังมองไม่เห็นสิ่งแปลกปลอมออกมา ห้ามใช้มือล้วงในปากเด็ดขาด
5. หากผู้ประสบเหตุเริ่มจะหมดสติ อาการไม่ดีขึ้น ต้องรีบโทรเรียนรถพยาบาลโดยเร็วที่สุด หรือโทรสายด่วน 1669 ก่อนเริ่มทำ CPR",Clinic,mild
Choking (Adult),อาหารติดคอ (อยุ่คนเดียว),"ติดคอ, หายใจไม่ออก, ไอไม่ออก, หน้าเขียว, มือจับคอ, สำลัก, choking, กินแล้วติดคอ, อยู่คนเดียว","1. ใช้มืออีกข้างกำมือข้างหนึ่งไว้ แล้ววางไว้เหนือสะดือ
2. ดันกำปั้นเข้าไปด้านในและขึ้นด้านบน ทำซ้ำจนกว่าวัตถุจะหลุดออกมา
3. นอกจากนี้ คุณยังสามารถก้มตัวลงบนพื้นผิวแข็ง เช่น พนักพิงเก้าอี้ ใช้พื้นผิวแข็งนั้นในการออกแรงดันซ้ำๆ ที่หน้าท้อง ทำซ้ำจนกว่าวัตถุนั้นจะหลุดออกมา",Clinic,mild
Choking (Infant),อาหารติดคอ (ทารก),"ลูกไม่ร้อง, หน้าเขียว, นมติดคอ, ของติดคอเด็ก, ทารกสำลัก, ดิ้นไม่ออก, CPR","1. หาที่นั่งหรือนั่งคุกเข่า จับเด็กวางนอนคว่ำไว้บนขา จับให้มั่นคงระวังเด็กหล่น จัดศีรษะต่ำกว่าลำตัว มือจับที่บริเวณขากรรไกรของเด็กและประคองคอเด็กไปด้วย ระมัดระวังจะต้องไม่เป็นการบีบคอเด็ก
2. ใช้มือข้างที่ถนัด ตบหลังเด็กด้วยส้นมือ บริเวณกึ่งกลางสะบักอย่างแรง 5 ครั้ง
3. กลับตัวเด็กให้นอนหงาย โดยจับให้มั่นคงบริเวณท้ายทอย ประคองคอเด็กให้ดี
4. ทำ CPR โดยใช้นิ้ว 2 นิ้ว ของมืออีกข้าง กดลงบนกึ่งกลางหน้าอกเด็ก โดยต่ำกว่าระดับหัวนมเด็กเล็กน้อย กดอย่างแรง 5 ครั้ง โดยทำสลับไปมาระหว่างการตบหลัง 5 ครั้ง และการกดกระแทกหน้าอก 5 ครั้ง จนเด็กร้องออกมาได้เอง หรือมีสิ่งแปลกปลอมหลุดออกมา ห้ามใช้นิ้วล้วงในปาก หรือคอถ้ายังมองไม่เห็นสิ่งแปลกปลอม หากเด็กหมดสติให้เริ่มทำ CPR",Clinic,mild
,อาหารติดคอ (ผู้ป่วยบนรถเข็น),,1. เข้าไปทางด้านหลัง  แล้วใช้มือข้างหนึ่งหาสะดือ  แล้วใช้มืออีกข้างหนึ่งกำหมัดแล้ววางเหนือสะดือ ใต้ลิ้นปี่โดยหันด้านนิ้วโป้งเข้าหาลำตัวผู้ป่วย บอกให้ผู้ป่วยแยกขาออกแล้วผู้ช่วยเหลือวางขาตรงกลางหว่างขาผู้ป่วย รัดกระตุกต่อเนื่อง 5   ครั้ง อัตราเร็ว 1 ครั้งต่อวินาที ให้ทำไปจนกว่าเศษอาหารจะออก หรือผู้ป่วยหมดสติ ถ้าไม่สามารถทำได้เนื่องจากลักษณะของรถเข็นสามารถใช้วิธีรัดกระตุกที่หน้าอกแทน หรือนำรถเข็นไปชิดผนังห้อง ล็อกล้อทั้งสองข้าง ใช้สองมือประสานกันแล้ววางส้นมือระหว่างสะดือกับลิ้นปี่ ดันหน้าท้องในแนวแรงเฉียงขึ้นด้านบน 5  ครั้งต่อเนื่อง ถ้าผู้ป่วยหมดสติ ให้นำลงมาจากรถเข็นแล้วทำการช่วยฟื้นคืนชีพ (CPR) ทันที,Clinic,mild
Shock,ภาวะช็อก,"ตัวเย็น, เหงื่อออก, หน้าซีด, ชีพจรเบา, จะเป็นลม, ช็อก, shock, เลือดออกเยอะจนช็อก","   1.  จับให้ผู้ป่วยนอนรําบ  ดูแลสาเหตุของการช็อกเช่น เสียเลือด ไฟไหม้ เป็นต้น ช่วยประคองให้ผู้ป่วยนอนลง ถ้าเป็นไปได้ควรให้นอนบนผ้าห่มหรือผ้านุ่ม ยกขาให้สูงกว่าระดับหัวใจ
   2.  โทรแจ้ง 1669  ว่าท่านสงสัยว่าผู้ป่วยมีอาการช็อก   3.  คลายเสื้อผ้าให้หลวม  เพื่อไม่ให้ขัดขวางการไหลเวียนของโลหิต ที่คอ หน้าอก เอว 4.  ให้ความอบอุ่นร่างกํายผู้ป่วย  ห่มด้วยผ้าห่มเพื่อให้ความอบอุ่น แนะนำให้ผู้ป่วยอยู่นิ่งๆเฝ้าสังเกตอาการของสัญญาณชีพ ได้แก่การหายใจ ชีพจรและระดับความรู้สึกตัวในขณะที่รอรถพยาบาลมาถึง
",Hospital,critical
Severe Bleeding,เลือดออกรุนแรง,"เลือดไหลไม่หยุด, เลือดพุ่ง, แผลใหญ่, โดนแทง, โดนฟัน, เลือดท่วม, ห้ามเลือด","1. ตั้งสติ ประเมินสถานการณ์ ความรุนแรงของบาดแผล ว่าเลือดออกมากในระดับไหน แผลอยู่บริเวณใด
2. กดแผลห้ามเลือด หากเป็นแผลขนาดเล็กให้ใช้มือกดนิ่ง ๆ บนแผลด้วยผ้าสะอาด ผ้าก๊อซ หรือกระดาษทิชชูจนกว่าเลือดจะหยุดไหล ใช้เวลาอย่างน้อยประมาณ 5 นาที หลอดเลือดจะหดตัวและห้ามเลือดไว้ได้ การใช้วิธีห้ามเลือดด้วยการกดแผลนี้เป็นขั้นตอนพื้นฐานที่สำคัญที่สุด จากนั้นจึงทำความสะอาดแผลด้วยน้ำเกลือปราศจากเชื้อ หรือใช้น้ำสะอาด ซับแผลให้แห้งก่อนจะทายาฆ่าเชื้อ
3. หากกดแผลไว้แล้วเลือดยังไม่หยุดไหล ให้ใช้ผ้าอีกผืนกดทับโดยไม่ต้องเอาผืนเดิมออก กดแผลต่อไปจนกว่าเลือดจะหยุดซึมขึ้นมาบนผ้า
4. ยกอวัยวะที่มีบาดแผลให้สูงกว่าระดับหัวใจ หากเป็นแผลบริเวณขาหรือแขน ให้ยกขาหรือแขนให้สูงกว่าหัวใจเพื่อช่วยให้เลือดไหลช้าลง เลือดหยุดไหลเร็วขึ้น ทำควบคู่กับแรงกดที่เหมาะสม
5. การใช้สายรัดห้ามเลือด ต้องไม่ชิดบาดแผลเกินไป รัดแล้วยกปลายแขนหรือขา คลายสายรัดออกเป็นพัก ๆ ห้ามรัดเกิน 1 ชั่วโมง เพราะอวัยวะอาจขาดเลือดไปเลี้ยงได้ วิธีห้ามเลือดด้วยสายรัดนี้ควรใช้เฉพาะกรณีที่เลือดไหลไม่หยุด",Hospital,critical
Head Injury (Conscious),หัวกระแทก (รู้สึกตัว),"หัวแตก, หัวโน, หัวปูด, โดนตีหัว, ล้มหัวฟาด","1. สอบถามอาการผู้ได้รับบาดเจ็บ หากยังรู้สึกตัว เช่น เวียนศีรษะ คลื่นไส้ หรือปวดศีรษะรุนแรง
2. หากมีแผลเปิดที่หนังศีรษะ ให้ใช้ผ้าสะอาดกดเบาๆ เพื่อห้ามเลือด แต่หากสงสัยว่ามีกะโหลกแตก ห้ามกดแผลโดยตรง ควรใช้ผ้าสะอาดคลุมไว้
3. ใช้การประคบเย็นเพื่อลดอาการบวม โดยใช้ผ้าห่อน้ำแข็ง หรือถุงเจลเย็นประคบจุดที่กระแทก ครั้งละ 10-15 นาที ทุกชั่วโมง
4. ห้ามเคลื่อนย้าย หรือขยับศีรษะ คอโดยไม่จำเป็น หากสงสัยว่ามีกระดูกคอ หรือกะโหลกแตก ควรรอทีมแพทย์ช่วยเหลือ
5. สังเกตอาการอย่างละเอียด หากมีอาการแขนขาอ่อนแรง พูดไม่ชัด มีเลือดหรือน้ำไหลจากหู หรือจมูก ควรเรียกรถพยาบาลทันที โดยแจ้งอาการให้แพทย์ทราบ เพื่อขอคำแนะนำในการดูแลผู้ได้รับบาดเจ็บเพิ่มเติม
6. ห้ามดื่มน้ำหรือกินยาเอง เพราะอาจสำลักหรือทำให้อาการแย่ลง ควรรอคำแนะนำจากแพทย์",Hospital,mild
Head Injury (Unconscious),หัวกระแทก (หมดสติ),"สลบ, ไม่ตื่น, เลือดออกหู, ตาลอย, จำอะไรไม่ได้, สมองกระทบกระเทือน","1. ไม่ควรเคลื่อนย้ายผู้ป่วยเว้นแต่จะอยู่ในอันตรายร้ายแรง การเคลื่อนไหวที่ไม่จำเป็นอาจทำให้เกิดภาวะแทรกซ้อนที่รุนแรงขึ้นต่ออาการบาดเจ็บที่ศีรษะ กระดูกสันหลัง หรือการบาดเจ็บอื่นๆ ที่เกี่ยวข้อง หลักการที่ดีคือ หากศีรษะได้รับบาดเจ็บ คออาจได้รับบาดเจ็บด้วยเช่นกัน
2. หน้าที่ของคุณคือการปกป้องผู้บาดเจ็บจากอันตรายที่อาจเกิดขึ้น ณ ที่เกิดเหตุ
3. เฝ้าสังเกตทางเดินหายใจและการหายใจของผู้ป่วยจนกว่ารถพยาบาลจะมาถึง หากการหายใจของบุคคลนั้นติดขัดเนื่องจากปัญหาเกี่ยวกับทางเดินหายใจ คุณอาจต้องค่อยๆ เอียงศีรษะของพวกเขาไปด้านหลัง (และประคองไว้) จนกว่าการหายใจจะกลับมาเป็นปกติ
หากบุคคลนั้นหยุดหายใจหรือไม่มีชีพจรอาจจำเป็นต้องทำการ CPR",Hospital,critical
