Case Name (EN),Case Name (TH),Keywords,Instructions,facility_type,severity
Eye Injury (Chemical),สารเคมีเข้าตา,"แสบตา, น้ำยาเข้าตา, ตาบอด, ล้างตา, กรดเข้าตา, โดนสารเคมี",1. หากใส่คอนแทคเลนส์ควรถอดออกก่อน 2. ล้างตาด้วยน้ำเกลือปราศจากเชื้อ (Sterile Normal Saline) หรือสารละลายล้างตา (Eye Irrigation Solution) เพื่อลดโอกาสการเกิดปฏิกิริยา ระหว่างสารเคมีและน้ำที่อาจไม่บริสุทธิ์ แต่หากไม่มีสามารถใช้น้ำเปล่าได้ โดยเปิดเปลือกตาขึ้น และกรอกตาไปมาเพื่อให้น้ำไหลผ่านดวงตาอย่างสม่ำเสมอ อย่างน้อย 15 นาที ให้มุมหัวตาอยู่สูงกว่ามุมหางตาในขณะล้าง เพื่อป้องกันสารไหลไปยังตาข้างที่ไม่ได้รับสารปนเปื้อน 3. ห้ามขยี้ตาเพราะอาจทำให้ดวงตาเสียหายรุนแรงขึ้น 4. กรณีไม่สามารถพบแพทย์ได้ทันที สามารถใช้สารหล่อลื่นตา (Artificial Tears) ชนิดไม่มีสารกันเสีย เพื่อลดอาการระคายเคืองชั่วคราวได้ แต่ควรใช้หลังการล้างตาด้วยน้ำสะอาด หรือน้ำเกลือแล้วเท่านั้น และควรรีบไปพบแพทย์ให้เร็วที่สุดเท่าที่จะทำได้,Clinic,mild
,สารเคมีเข้าปาก,,1.ให้รีบบ้วนปากด้วยน้ำสะอาด แต่ห้ามทำให้อาเจียน เพราะการกระตุ้นอาเจียนอาจทำให้พื้นที่สัมผัสสารเคมีในกระเพาะอาหาร และลำคอมากขึ้น หากเป็นสารกัดกร่อน เช่น กรด หรือด่างแรง หรือสารกำจัดศัตรูพืช ควรไปโรงพยาบาลทันที พร้อมแจ้งชนิดของสารเคมีที่กลืนเข้าไปให้แพทย์ทราบ,Clinic,mild
,สูดดมสารเคมี,,1. ควรรีบออกจากพื้นที่ที่มีแก๊สพิษ ไปยังบริเวณที่มีอากาศบริสุทธิ์ และระบายอากาศได้ดี ตรวจสอบการหายใจ และอาการ หากหัวใจหยุดเต้น ควรทำ CPR อย่างถูกวิธี และรีบนำตัวส่งโรงพยาบาล โดยแจ้งชนิดของสารเคมีที่สูดดมเข้าไป เพื่อการรักษาที่เหมาะสม ห้ามทำให้อาเจียน หรือให้ดื่มน้ำ และนมโดยไม่ปรึกษาแพทย์ โดยเฉพาะในกรณีของสารกัดกร่อน เพราะอาจทำให้อาการแย่ลง,Clinic,mild
,เสื้อผ้าเปื้อนสารเคมี,,1. ควรรีบถอดออก เพื่อป้องกันการซึมผ่านผิวหนัง และลดความเสี่ยงต่อการเกิดการระคายเคือง ให้อาบน้ำ หรือล้างร่างกายบริเวณที่สัมผัสสารเคมีด้วยน้ำสะอาดโดยให้น้ำไหลผ่านนานๆ เพื่อให้สารเคมีเจือจาง และลดความเข้มข้น โดยไม่ต้องใช้สบู่ หรือสารเคมีใดๆ หากเสื้อผ้าเปื้อนสารเคมีรุนแรง ควรทิ้งด้วยการห่อให้มิดชิดเพื่อป้องกันการปนเปื้อนซ้ำ และไม่ให้สารเคมีแพร่กระจายไปยังผู้อื่น 2. กรณีอาการรุนแรง เช่น หายใจลำบาก หรือปวดแสบปวดร้อนมาก หรือไม่แน่ใจว่าสารเคมีเป็นอันตรายมากน้อยเพียงใด ควรรีบพบแพทย์,Clinic,mild
Eye Injury (Penetrating),วัตถุทิ่มตา,"เหล็กทิ่มตา, ไม้ทิ่มตา, เลือดออกตา, ตาบอด, ห้ามดึงออก","1. ห้ามขยี้ตาเด็ดขาด: การขยี้จะทำให้เศษเหล็กบาดกระจกตามากขึ้น
2. ล้างตา: ใช้น้ำสะอาด หรือน้ำเกลือล้างแผล (Normal Saline) ล้างผ่านดวงตา เพื่อให้เศษเหล็กไหลออกมา
3. ห้ามเขี่ยเอง: โดยเฉพาะการใช้ของมีคมหรือผ้าเช็ดหน้าเขี่ย
4. ปิดตา: หากมีแผลหรือปวดมาก ให้ใช้ผ้าสะอาดหรือฝาครอบตา (Eye Shield) ปิดตาเบาๆ เพื่อป้องกันการกระแทกและลดการกรอกตา
5. ควรไปโรงพยาบาลที่มีจักษุแพทย์เพื่อนำเศษเหล็กออกและป้องกันการติดเชื้อ",Hospital,critical
Skull Fracture,กะโหลกร้าว,"หัวบุบ, หัวยุบ, เลือดออกจมูก/หู, ตกจากที่สูง","1. สอบถามอาการผู้ได้รับบาดเจ็บ หากยังรู้สึกตัว เช่น เวียนศีรษะ คลื่นไส้ หรือปวดศีรษะรุนแรง
2. หากมีแผลเปิดที่หนังศีรษะ ให้ใช้ผ้าสะอาดกดเบาๆ เพื่อห้ามเลือด แต่หากสงสัยว่ามีกะโหลกแตก ห้ามกดแผลโดยตรง ควรใช้ผ้าสะอาดคลุมไว้
3. ใช้การประคบเย็นเพื่อลดอาการบวม โดยใช้ผ้าห่อน้ำแข็ง หรือถุงเจลเย็นประคบจุดที่กระแทก ครั้งละ 10-15 นาที ทุกชั่วโมง
4. ห้ามเคลื่อนย้าย หรือขยับศีรษะ คอโดยไม่จำเป็น หากสงสัยว่ามีกระดูกคอ หรือกะโหลกแตก ควรรอทีมแพทย์ช่วยเหลือ
5. สังเกตอาการอย่างละเอียด หากมีอาการแขนขาอ่อนแรง พูดไม่ชัด มีเลือดหรือน้ำไหลจากหู หรือจมูก ควรเรียกรถพยาบาลทันที โดยแจ้งอาการให้แพทย์ทราบ เพื่อขอคำแนะนำในการดูแลผู้ได้รับบาดเจ็บเพิ่มเติม
6. ห้ามดื่มน้ำหรือกินยาเอง เพราะอาจสำลักหรือทำให้อาการแย่ลง ควรรอคำแนะนำจากแพทย์",Hospital,critical
Neck/Spine Injury,บาดเจ็บกระดูกสันหลัง,"คอหัก, ขยับไม่ได้, ปวดหลัง, ตกบันได, รถชน, ห้ามขยับ, คอพับ","1. บอกผู้ป่วยห้ามขยับศีรษะ โทรแจ้ง 1669 ถ้าเป็นไปได้บอกให้ผู้อื่นไปโทรแจ้ง ในขณะที่ท่านประคองศีรษะและคอผู้ป่วยไว้ไม่ให้เคลื่อนไหวและบอกให้แจ้งศูนย์รับแจ้งเหตุด้วยว่าสงสัยผู้ป่วยอาจได้รับบาดเจ็บที่กระดูกสันหลัง   2. ประคองศีรษะให้อยู่นิ่งๆ โดยนั่งคุกเข่าอยู่ด้านเหนือศีรษะของผู้ป่วย วางแขนลงบนพื้นจับประคองศีรษะผู้ป่วยไว้ให้มั่นคงแหล่งที่มา
3. วางอุปกรณ์เสริมข้างศีรษะ ให้ผู้ช่วยเหลืออีกคนหาผ้ามาม้วนเป็นก้อนกลม แล้ววางไว้ข้างศีรษะทั้งสองข้างเป็นอุปกรณ์เสริม   4. เฝ้าติดตามอาการอย่างใกล้ชิด คอยตรวจวัดสัญญาณชีพ ได้แก่ การหายใจ ชีพจร และระดับการตอบสนอง ในขณะที่รอรถพยาบาลมาถึง
",Hospital,critical
Clavicle Fracture,กระดูกไหปลาร้าหัก,"ไหล่เจ็บ, ไหล่ห้อย, ไหปลาร้าหัก, กระแทกไหล่, ยกแขนไม่ได้","1. หากผู้บาดเจ็บเกิดอุบัติเหตุหรือรู้สึกว่ากระดูกไหปลาร้าหัก ควรหยุดกิจกรรมและพยายามไม่ขยับบริเวณที่บาดเจ็บ
2. ใช้ผ้าพันหรือผ้ายืดมาทำเป็นสามเหลี่ยมผูกยึดแขนไว้ที่หน้าอกเพื่อลดการเคลื่อนไหวของกระดูกไหปลาร้า วิธีนี้ช่วยลดอาการปวดและป้องกันการเคลื่อนตัวของกระดูกที่หัก 
3. ใช้ผ้าเย็นหรือเจลประคบเย็นวางบนบริเวณที่บวมและเจ็บ ช่วยลดอาการปวดและบวม ควรประคบเย็นเป็นเวลา 15-20 นาที หลีกเลี่ยงการวางน้ำแข็งลงโดยตรงบนผิวหนัง
4. แนะนำให้ผู้บาดเจ็บหลีกเลี่ยงการขยับแขนหรือไหล่ข้างที่บาดเจ็บ เพื่อป้องกันการหักที่รุนแรงขึ้น ควรอยู่ในท่าที่สบายมากที่สุด
5. สามารถให้ยาพาราเซตามอลหรือตามคำแนะนำของแพทย์เพื่อลดอาการปวดระหว่างรอการรักษา
6. ควรนำผู้บาดเจ็บไปพบแพทย์ทันทีเพื่อรับการตรวจวินิจฉัยและการรักษาเพิ่มเติม เช่น การถ่ายภาพรังสี (X-ray) เพื่อดูตำแหน่งและความรุนแรงของการหัก",Hospital,critical
Arm Fracture (Upper),ต้นแขนหัก,"แขนผิดรูป, แขนห้อย, ปวดแขน, ขยับแขนไม่ได้, ดามแขน","1. ประคองบริเวณที่หัก ช่วยผู้ป่วยประคองข้อด้านบนและด้านล่างบริเวณที่หัก ให้อยู่ในท่าที่สบายที่สุด
2. ใช้ผ้าห่อป้องกันบริเวณที่หัก  ใช้ผ้าเช็ดตัวหรือผ้าปูโต๊ะ ห่อบริเวณที่หักและพยุงให้อยู่ในท่าที่สบาย อย่าพยายามขยับส่วนที่หักโดยไม่จำเป็น อาจทำให้ได้รับบาดเจ็บเพิ่มขึ้นได้ ถ้าเป็นแผลเปิดให้ปิดแผลด้วยผ้าสะอาดไม่มีขุยและพันให้เรียบร้อย    3. พยุงส่วนที่บาดเจ็บไว้ ในกรณีที่การช่วยเหลือมาถึงล้าช้า ถ้าแขนหักให้หาอุปกรณ์มาคล้องแขนไว้ ถ้าขาหักให้หาไม้มาแล้วใช้ผ้าพันไม้ก่อนนำมาดามขา . ถ้าผู้ป่วยแขนหักและไม่มีอาการช็อก  สามารถนำผู้ป่วยส่งโรงพยาบาลด้วยรถยนต์ แต่ถ้าขาหักควรนำส่งด้วยรถพยาบาลโดยการ โทรแจ้ง 1669แล้วคอยดูแลอาการช็อก เฝ้าติดตามอาการและบันทึกการหายใจ ชีพจร และระดับการตอบสนองของผู้ป่วย ห้ามให้ผู้ป่วยรับประทานอาหาร หรือดื่มเครื่องดื่มเพราะอาจต้องผ่าตัดฉุกเฉิน ห้ามยกขาสูงเมื่อต้องรักษาอาการช็อก",Hospital,critical
Arm Fracture (Lower),แขนท่อนล่างหัก,"ข้อมือหัก, แขนงอ, กระดูกโผล่ที่แขน, ล้มเท้าแขน","1. ประคองบริเวณที่หัก ช่วยผู้ป่วยประคองข้อด้านบนและด้านล่างบริเวณที่หัก ให้อยู่ในท่าที่สบายที่สุด
2. ใช้ผ้าห่อป้องกันบริเวณที่หัก  ใช้ผ้าเช็ดตัวหรือผ้าปูโต๊ะ ห่อบริเวณที่หักและพยุงให้อยู่ในท่าที่สบาย อย่าพยายามขยับส่วนที่หักโดยไม่จำเป็น อาจทำให้ได้รับบาดเจ็บเพิ่มขึ้นได้ ถ้าเป็นแผลเปิดให้ปิดแผลด้วยผ้าสะอาดไม่มีขุยและพันให้เรียบร้อย    3. พยุงส่วนที่บาดเจ็บไว้ ในกรณีที่การช่วยเหลือมาถึงล้าช้า ถ้าแขนหักให้หาอุปกรณ์มาคล้องแขนไว้ ถ้าขาหักให้หาไม้มาแล้วใช้ผ้าพันไม้ก่อนนำมาดามขา . ถ้าผู้ป่วยแขนหักและไม่มีอาการช็อก  สามารถนำผู้ป่วยส่งโรงพยาบาลด้วยรถยนต์ แต่ถ้าขาหักควรนำส่งด้วยรถพยาบาลโดยการ โทรแจ้ง 1669แล้วคอยดูแลอาการช็อก เฝ้าติดตามอาการและบันทึกการหายใจ ชีพจร และระดับการตอบสนองของผู้ป่วย ห้ามให้ผู้ป่วยรับประทานอาหาร หรือดื่มเครื่องดื่มเพราะอาจต้องผ่าตัดฉุกเฉิน ห้ามยกขาสูงเมื่อต้องรักษาอาการช็อก",Hospital,critical
Rib Fracture,ซี่โครงหัก,"เจ็บหน้าอก, หายใจเจ็บ, หน้าอกกระแทก, ไอเจ็บ, ช้ำใน","1. ใช้ยาแก้ปวด เช่นพาราเซตามอลหรือ เจล ไอบูโพรเฟน (หรือยาเม็ดไอบูโพรเฟนหากจำเป็น)
2. ประคบเย็น (หรือถุงถั่วลันเตาแช่แข็ง) ที่ห่อด้วยผ้าขนหนูลงบนซี่โครงที่ได้รับผลกระทบเป็นประจำในช่วงสองสามวันแรก เพื่อลดอาการบวม
3. พักผ่อนและลาหยุดงานหากจำเป็น
4. หายใจปกติและไอเมื่อรู้สึกอยากไอ – วิธีนี้จะช่วยขับเสมหะออกจากปอดเพื่อป้องกันการติดเชื้อในทรวงอก
5. ถ้าคุณต้องไอ ให้ใช้หมอนแนบหน้าอกไว้
6. เดินไปมาบ้าง และบางครั้งก็ขยับไหล่เพื่อช่วยให้หายใจสะดวกขึ้นและขับเสมหะออกจากปอด
7. หายใจเข้าออกช้าๆ ลึกๆ เป็นประจำ เพื่อช่วยให้ปอดโล่งขึ้น
8. ในช่วงสองสามคืนแรก พยายามนอนในท่าที่เอนตัวไปข้างหน้ามากขึ้น",Hospital,critical
Leg Fracture (Thigh),ต้นขาหัก,"ขาผิดรูป, ขาสั้นยาวไม่เท่ากัน, ปวดขามาก, ขยับไม่ได้","1. ประคองบริเวณที่หัก ช่วยผู้ป่วยประคองข้อด้านบนและด้านล่างบริเวณที่หัก ให้อยู่ในท่าที่สบายที่สุด
2. ใช้ผ้าห่อป้องกันบริเวณที่หัก  ใช้ผ้าเช็ดตัวหรือผ้าปูโต๊ะ ห่อบริเวณที่หักและพยุงให้อยู่ในท่าที่สบาย อย่าพยายามขยับส่วนที่หักโดยไม่จำเป็น อาจทำให้ได้รับบาดเจ็บเพิ่มขึ้นได้ ถ้าเป็นแผลเปิดให้ปิดแผลด้วยผ้าสะอาดไม่มีขุยและพันให้เรียบร้อย    3. พยุงส่วนที่บาดเจ็บไว้ ในกรณีที่การช่วยเหลือมาถึงล้าช้า หาไม้มาแล้วใช้ผ้าพันไม้ก่อนนำมาดามขา ควรนำส่งด้วยรถพยาบาลโดยการ โทรแจ้ง 1669แล้วคอยดูแลอาการช็อก เฝ้าติดตามอาการและบันทึกการหายใจ ชีพจร และระดับการตอบสนองของผู้ป่วย ห้ามให้ผู้ป่วยรับประทานอาหาร หรือดื่มเครื่องดื่มเพราะอาจต้องผ่าตัดฉุกเฉิน ห้ามยกขาสูงเมื่อต้องรักษาอาการช็อก",Hospital,critical
Leg Fracture (Lower),ขาท่อนล่างหัก,"หน้าแข้งหัก, กระดูกแทงออกมา, รถล้มขาหัก","1. ประคองบริเวณที่หัก ช่วยผู้ป่วยประคองข้อด้านบนและด้านล่างบริเวณที่หัก ให้อยู่ในท่าที่สบายที่สุด
2. ใช้ผ้าห่อป้องกันบริเวณที่หัก  ใช้ผ้าเช็ดตัวหรือผ้าปูโต๊ะ ห่อบริเวณที่หักและพยุงให้อยู่ในท่าที่สบาย อย่าพยายามขยับส่วนที่หักโดยไม่จำเป็น อาจทำให้ได้รับบาดเจ็บเพิ่มขึ้นได้ ถ้าเป็นแผลเปิดให้ปิดแผลด้วยผ้าสะอาดไม่มีขุยและพันให้เรียบร้อย    3. พยุงส่วนที่บาดเจ็บไว้ ในกรณีที่การช่วยเหลือมาถึงล้าช้า หาไม้มาแล้วใช้ผ้าพันไม้ก่อนนำมาดามขา ควรนำส่งด้วยรถพยาบาลโดยการ โทรแจ้ง 1669แล้วคอยดูแลอาการช็อก เฝ้าติดตามอาการและบันทึกการหายใจ ชีพจร และระดับการตอบสนองของผู้ป่วย ห้ามให้ผู้ป่วยรับประทานอาหาร หรือดื่มเครื่องดื่มเพราะอาจต้องผ่าตัดฉุกเฉิน ห้ามยกขาสูงเมื่อต้องรักษาอาการช็อก",Hospital,critical
Ankle Fracture,ข้อเท้าหัก,"ข้อเท้าผิดรูป, บิดผิดรูป, เดินไม่ได้, ลงน้ำหนักไม่ได้","เมื่อเกิดอุบัติเหตุบริเวณข้อเท้า ควรทำการปฐมพยาบาลอย่างถูกต้อง เพื่อไม่ให้อาการรุนแรงไปมากกว่าเดิม ก่อนที่จะเข้ารับการรักษาจากแพทย์ ซึ่งหลังจากเกิดอุบัติเหตุบริเวณข้อเท้าสามารถทำการปฐมพยาบาลได้ ดังนี้

1. เมื่อเกิดอาการบาดเจ็บบริเวณข้อเท้าให้หยุดการใช้งานในบริเวณที่บาดเจ็บ ไม่ลงน้ำหนักไปยังบริเวณขาข้างนั้นๆ 
2. หากพบว่าข้อเท้าหักหรือกระดูกข้อเท้าหัก ควรหาอุปกรณ์สำหรับดาม ไม่ว่าจะเป็น ไม้กระดานแบนๆ หรือกระดาษแข็ง โดยใช้ผ้าพันทั้งด้านข้าง และด้านล่าง เพื่อป้องกันไม่ให้บริเวณที่บาดเจ็บเคลื่อนที่
3. ระหว่างเดินทางไปรักษาที่โรงพยาบาล ควรระวังไม่ลงน้ำหนักข้างที่บาดเจ็บ และป้องกันไม่ให้บริเวณนั้นได้รับการกระทบกระเทือน รวมถึงไม่ควรเคลื่อนไหวด้วย
4. นอกจากนี้ ควรประคบเย็น และยกขาให้สูง เพื่อช่วยลดอาการปวดและบวม",Hospital,critical
Finger/Toe Fracture,นิ้วหัก/ซ้น,"นิ้วบวม, นิ้วงอ, นิ้วผิดรูป, ซ้น, กระแทก, ประตูนีบ","1. หยุดใช้งานส่วนที่บาดเจ็บทันที เพื่อป้องกันไม่ให้เจ็บเพิ่มขึ้น อาจพยุงด้วยการพันผ้ายืด ติดเทป หรือใส่อุปกรณ์ช่วยพยุงต่าง ๆ รวมถึงใช้เครื่องช่วยเดินต่าง ๆ เช่น ไม้ค้ำรักแร้ ไม้เท้า 
2. จุ่มมือข้างที่บาดเจ็บลงไปในอ่างแช่น้ำแข็ง เพื่อลดอาการอักเสบและบวม แต่ควรระวังไม่ให้แช่นานเกินไป เพราะอาจถูกทำลายจากความเย็นจัด
ผู้ที่มีอาการนิ้วซ้นรุนแรง หลังจากปฐมพยาบาลด้วยตัวเองแล้ว ควรรีบพบแพทย์เฉพาะทางทันที เพราะอาจมีการวินิจฉัยด้วยวิธีพิเศษต่าง ๆ เช่น การทำเอ็มอาร์ไอ การถ่ายภาพเอกซเรย์ 
หรือบางคนอาจต้องได้รับการรักษาจากแพทย์เฉพาะทาง เช่น ถ้าข้อต่อเคลื่อน ก็ต้องจัดข้อต่อให้เข้าที่และใส่เฝือก หรือใครที่เอ็นบาดเจ็บรุนแรง ก็อาจต้องรักษาด้วยการผ่าตัด  ",none,mild
Dislocated Shoulder,ไหล่หลุด,"ไหล่หลุด, ไหล่เบี้ยว, ขยับไม่ได้, ปวดไหล่มาก",ควรพึ่งการประคบเย็น โดยใช้น้ำแข็งผสมน้ำห่อผ้ามาประคบครั้งละ 5 – 10 นาที ทุก 1 – 2 ชั่วโมง,Hospital,mild
Sprain/Strain,ข้อเท้าแพลง,"ขาพลิก, ข้อเท้าบวม, เดินกะเผลก, แพลง, เจ็บข้อ, ประคบเย็น","1. นั่งพักเพื่อสังเกตอาการจากข้อเท้าแพลงว่ารุนแรงไหม
2. ประคบเย็นเพื่อลดบวมและช่วยให้เลือดออกน้อยลง โดยประคบเย็นประมาณ 15 นาที ทุก ๆ 2 ชั่วโมง ข้อห้ามคือไม่ควรประคบร้อนหรือนวดบริเวณที่เกิดการบาดเจ็บในระยะแรกเพราะจะทำให้บวมมากยิ่งขึ้น
3. ใช้ผ้าพันบริเวณที่บวมและพยายามไม่เคลื่อนไหวถ้าไม่จำเป็น เพราะจะทำให้ปวดในบริเวณที่ได้รับบาดเจ็บ
4. ยกปลายเท้าให้สูงขึ้น เพื่อลดบวมและลดความเจ็บปวด",Clinic,mild
Cramp,ตะคริว,"ตะคริว, เกร็ง, ปวดน่อง, ขยับไม่ได้, นิ้วล็อก","กล้ามเนื้อที่เป็นตะคริวจะหดเกร็ง ดังนั้นต้องค่อย ๆ ยืดกล้ามเนื้อออกให้มาอยู่ในความยาวปกติของกล้ามเนื้อนั้น ๆ และให้ยืดกล้ามเนื้อนั้น ๆ ให้ยาวขึ้นอยู่จนกระทั่งหายปวด อาจใช้เวลาประมาณ 1 – 2 นาทีแล้วลองปล่อยดูอาการว่ายังหดเกร็งอยู่หรือไม่ ถ้าเป็นอีกให้ทำซ้ำได้อีกจนหายเกร็ง
หากเป็นกล้ามเนื้อน่องเป็นตะคริวให้นั่งลงเหยียดเข่าข้างนั้นออกให้ตรง และให้คนข้าง ๆ ช่วยจับกระดูกข้อเท้าข้างนั้นให้ขึ้นจนสุดเท่าที่จะทำได้ ก็สามารถแก้อาการปวดจากตะคริวได้อย่างดีเยี่ยม หรือถ้าไม่มีใครอาจโน้มตัวไปแล้วดึงปลายเท้าเข้าหาลำตัวก็ได้",not emergency,no need
Snake Bite (Neurotoxic),งูระบบประสาท (เห่า/จงอาง),"งูเห่ากัด, งูจงอาง, หนังตาตก, หายใจไม่ออก, อ่อนแรง, งูแผ่แม่เบี้ย","1. ล้างแผลด้วยน้ำและสบู่ ไม่ควรใช้เหล้า ยาสีฟัน ขี้เถ้าทาแผล หรือสมุนไพรใดๆ
2. บีบเลือดออกจากแผลให้มากที่สุดเท่าที่จะทำได้ ไม่ควรใช้ปากดูดหรือเปิดปากแผลด้วยของมีคม
3. การรัด ควรรัดเหนือและใต้บาดแผลประมาณ 3 นิ้วมือ ไม่ควรรัดเหนือบาดแผลให้แน่นมาก เพราะจะทำให้อวัยวะส่วนปลายขาดเลือดและเน่าตาย ควรคลายความแน่นพอสอดนิ้วมือได้ 1 นิ้ว จุดประสงค์เพื่อให้อวัยวะนั้นอยู่นิ่ง ไม่ใช่เป็นการห้ามพิษเข้าสู่หัวใจตามที่คนส่วนใหญ่เข้าใจไม่ถูกต้อง
4. ใช้ผ้าสะอาดห้ามเลือดด้วยการกดแผลโดยตรง  ถ้าสามารถใช้แอลกอฮอล์หรือเบต้าดีนทาแผลได้ก็จะเป็นผลดีต่อการทำลายเชื้อโรคต่างๆ
5. พยายามเคลื่อนไหวร่างกายให้น้อยที่สุด เพราะหากเคลื่อนไหวมาก จะทำให้พิษของงูเข้าสู่กระแสเลือดเร็วขึ้น
6. วางอวัยวะส่วนนั้นให้ต่ำกว่าหรือระดับเดียวกับหัวใจ
7. รับประทานยาแก้ปวดหากรู้สึกปวด แต่ห้ามใช้ยาที่มีฤทธิ์แอลกอฮอล์ ยาระงับประสาท ยานอนหลับ  ยาดองเหล้า  เป็นต้น
8. รีบนำผู้ป่วยส่งสถานพยาบาลใกล้บ้าน ไม่จำเป็นต้องนำซากงูมาให้แพทย์ตรวจดูว่าเป็นงูประเภทใด เนื่องจากอาจจับได้ในบริเวณใกล้เคียงซึ่งไม่ใช่เป็นตัวที่กัด ปัจจุบันใช้การดูรอยกัดและลักษณะแผลเพื่อกำหนดการใช้เซรุ่มต้านพิษงูฉีดให้เหมาะสม
9. ให้ระลึกเสมอว่างูที่กัดทุกตัวเป็นงูมีพิษ  ",Hospital,critical
